Idx,Description.of.Problems.Changes,Fixed.,Related.IDs,Type.of.error,Link_ID,ID,Reliable
143,1996 wrongly ID'ed; new IDs made,Y,"WR004_1996SS, WL002_1996SS",FP/ Type I,143,143,Yes
267,1996 and 97 wrongly ID'ed; new IDs made,Y,"WR001_1996SS, WL003_1996SS",FP/ Type I,267,267,No
3070,duplicate; moved to original ID,Y,952,FN/ Type II,952,952,Yes
4110,duplicate; moved to original ID,Y,952,FN/ Type II,952,952,Yes
3043,duplicate; moved to original ID,Y,54,FN/ Type II,54,54,No
3043,duplicate; moved to original ID,Y,54,FN/ Type II,54,54,Yes
3033,duplicate; moved to original ID,Y,1757,FN/ Type II,1757,1757,Yes
2228,duplicate; moved to original ID,Y,2023,FN/ Type II,2023,2023,NA
3110,duplicate; moved to original ID,Y,1904,FN/ Type II,1904,1904,No
3078,duplicate; moved to original ID,Y,3047,FN/ Type II,3047,3047,NA
71,duplicate; moved to original ID,Y,18,FN/ Type II,18,18,Yes
79,duplicate; moved to original ID,Y,39,FN/ Type II,39,39,Yes
246,duplicate; moved to original ID,Y,57,FN/ Type II,57,57,Yes
294,duplicate; moved to original ID,Y,235,FN/ Type II,235,235,Yes
400,duplicate; moved to original ID,Y,407,FN/ Type II,407,407,Yes
492,duplicate; moved to original ID,Y,57,FN/ Type II,57,57,Yes
502,duplicate; moved to original ID,Y,18,FN/ Type II,18,18,Yes
568,duplicate; moved to original ID,Y,101,FN/ Type II,101,101,Yes
651,duplicate; moved to original ID,Y,653,FN/ Type II,653,653,No
651,duplicate; moved to original ID,Y,653,FN/ Type II,653,653,Yes
672,duplicate; moved to original ID,Y,531,FN/ Type II,531,531,Yes
919,duplicate; moved to original ID,Y,32,FN/ Type II,32,32,Yes
964,duplicate; moved to original ID,Y,57,FN/ Type II,57,57,Yes
1039,duplicate; moved to original ID,Y,413,FN/ Type II,413,413,Yes
1039,duplicate; moved to original ID,Y,413,FN/ Type II,413,413,No
1144,duplicate; moved to original ID,Y,649,FN/ Type II,649,649,Yes
1350,duplicate; moved to original ID,Y,1307,FN/ Type II,1307,1307,No
1643,duplicate; moved to original ID,Y,2102,FN/ Type II,2102,2102,Yes
1923,duplicate; moved to original ID,Y,649,FN/ Type II,649,649,Yes
2066,duplicate; moved to original ID,Y,1143,FN/ Type II,1143,1143,NA
4101,duplicate; moved to original ID,Y,3092,FN/ Type II,3092,3092,NA
4205,duplicate; moved to original ID,Y,1114,FN/ Type II,1114,1114,Yes
3082,right side duplicate; moved to original ID,Y,4103,FN/ Type II,4103,4103,No
3082,right side duplicate; moved to original ID,Y,4103,FN/ Type II,4103,4103,Yes
3083,right side duplicate; moved to original ID,Y,3087,FN/ Type II,3087,3087,No
1157,duplicate; moved to original ID,Y,1147,FN/ Type II,1147,1147,No
1157,duplicate; moved to original ID,Y,1147,FN/ Type II,1147,1147,Yes
1966,right side duplicate; moved to original ID,Y,1967,FN/ Type II,1967,1967,No
1211,duplicate; moved to original ID,Y,606,FN/ Type II,606,606,Yes
3096,duplicate; moved to original ID,Y,2095,FN/ Type II,2095,2095,NA
1111,duplicate; moved to original ID,Y,54,FN/ Type II,54,54,No
1111,duplicate; moved to original ID,Y,54,FN/ Type II,54,54,Yes
681,duplicate; moved to original ID,Y,54,FN/ Type II,54,54,No
681,duplicate; moved to original ID,Y,54,FN/ Type II,54,54,Yes
2082,duplicate; moved to original ID,Y,1147,FN/ Type II,1147,1147,No
2082,duplicate; moved to original ID,Y,1147,FN/ Type II,1147,1147,Yes
1181,duplicate; moved to original ID,Y,151,FN/ Type II,151,151,Yes
649,left side duplicate; moved to original ID,Y,151,FN/ Type II,151,151,Yes
3040,left side duplicate; moved to original ID,Y,3024,FN/ Type II,3024,3024,No
399,"1997 photos wrongly ID'ed, moved to new ID",Y,"WR001_1997SS, WL001_1997SS",FP/ Type I,399,399,Yes
805,wrongly ID'ed photos,Y,549,FP/ Type I,549,549,No
961,wrongly ID'ed photos,Y,WL001_1999SS,FP/ Type I,961,961,Yes
961,wrongly ID'ed photos,Y,WL001_1999SS,FP/ Type I,961,961,No
1212,wrongly ID'ed photos,Y,28,FP/ Type I,28,28,No
1212,wrongly ID'ed photos,Y,28,FP/ Type I,28,28,Yes
2056,wrongly ID'ed photos,Y,549,FP/ Type I,2056,2056,No
6204,duplicate; moved to original ID,Y,2048,FN/ Type II,2048,2048,No
6204,duplicate; moved to original ID,Y,2048,FN/ Type II,2048,2048,Yes
6157,duplicate; moved to original ID,Y,5092,FN/ Type II,5092,5092,No
6456,duplicate; moved to original ID,Y,6428,FN/ Type II,6428,6428,Yes
6424,duplicate; moved to original ID,Y,6416,FN/ Type II,6416,6416,Yes
